month,conf_weighted_cur,n_articles_cur,conf_weighted_live,n_articles_live,diff
2003-04-01,-0.1563720741042876,75,-0.10128174214385767,15.0,0.055090331960429936
2003-05-01,-0.008315575774890427,120,0.13272924756773083,34.0,0.14104482334262125
2003-06-01,0.05280504884872055,178,0.25286069443969467,49.0,0.2000556455909741
2003-07-01,-0.02569523254687348,109,-0.0680187938412551,29.0,-0.042323561294381626
2003-08-01,0.045876356839760185,94,0.10433409610491905,26.0,0.05845773926515886
2003-09-01,0.07632657888124504,93,-0.1070510918822704,21.0,-0.18337767076351544
2003-10-01,0.1435806562783667,110,0.30868424204173267,20.0,0.16510358576336598
2003-11-01,0.0710893183850169,73,0.44990176869771215,13.0,0.3788124503126952
2003-12-01,0.12821161907894077,145,0.13209215408365357,33.0,0.003880535004712804
2004-01-01,0.05560423493293997,146,0.09524528145242651,41.0,0.03964104651948654
2004-02-01,0.0897950875745779,125,0.1305829363728086,37.0,0.040787848798230705
2004-03-01,-0.013918172876049982,137,-0.017088444251587002,36.0,-0.0031702713755370204
2004-04-01,0.11925761641580611,180,0.08200091410586255,51.0,-0.03725670230994356
2004-05-01,-0.05754463510895911,157,0.08856944490302324,42.0,0.14611408001198234
2004-06-01,0.06897045301364557,206,0.08613609699763161,55.0,0.01716564398398604
2004-07-01,0.12873481021955674,166,0.1747967147467966,41.0,0.04606190452723985
2004-08-01,-0.008914997429626134,135,0.0448807891552421,29.0,0.053795786584868235
2004-09-01,-0.013414791160018816,140,0.09001926632994067,28.0,0.10343405748995949
2004-10-01,-0.01931229145761085,98,-0.11880846107198752,19.0,-0.09949616961437667
2004-11-01,0.1686207739955399,139,-0.09406341960646597,32.0,-0.2626841936020059
2004-12-01,0.026944778121718832,128,0.06346218160092008,27.0,0.03651740347920125
2005-01-01,-0.031211635346711824,120,-0.2842140843241547,17.0,-0.25300244897744284
2005-02-01,0.11530090289406712,135,0.020807246463044052,34.0,-0.09449365643102307
2005-03-01,0.03269783707537619,176,0.09736752197051686,43.0,0.06466968489514066
2005-04-01,-0.08991047877484938,146,0.013639672506163327,38.0,0.1035501512810127
2005-05-01,0.05190473074470586,147,-0.03837871216188625,27.0,-0.09028344290659211
2005-06-01,0.06983480079912546,157,0.026718532819075744,44.0,-0.04311626798004972
2005-07-01,0.18179690395272358,128,0.16616295365489728,38.0,-0.0156339502978263
2005-08-01,0.06659949570884684,148,-0.09575286170875971,31.0,-0.16235235741760656
2005-09-01,-0.17165023949810557,173,-0.16434928563194304,43.0,0.0073009538661625295
2005-10-01,-0.014945644366092883,168,-0.0105328575820702,62.0,0.004412786784022682
2005-11-01,0.06276117618301273,143,0.08885348486997446,45.0,0.026092308686961732
2005-12-01,0.08763275125124685,132,0.10008491691425862,39.0,0.012452165663011772
2006-01-01,0.139125574631062,142,0.04990623471660663,35.0,-0.08921933991445538
2006-02-01,0.14835385123100517,127,0.14416625805390607,39.0,-0.004187593177099103
2006-03-01,0.1457227649719424,146,0.16011181066087007,29.0,0.014389045688927682
2006-04-01,0.09311237851173045,114,0.1401438995610338,25.0,0.047031521049303346
2006-05-01,0.13451655079101926,140,0.04242197425085942,29.0,-0.09209457654015984
2006-06-01,-0.01637758763652441,150,-0.13514007380051804,27.0,-0.11876248616399362
2006-07-01,0.06674525404691166,147,-0.03277251217268631,39.0,-0.09951776621959797
2006-08-01,0.0012293082104863399,164,0.1725776702035505,34.0,0.17134836199306416
2006-09-01,0.024058554526026465,125,0.04220961964044365,27.0,0.01815106511441719
2006-10-01,0.0523258792678865,148,0.10677421905085473,28.0,0.05444833978296822
2006-11-01,0.1465879643000772,142,0.5710084931336763,33.0,0.4244205288335991
2006-12-01,0.005171382848805089,138,-0.24525308620499775,27.0,-0.25042446905380283
2007-01-01,0.1579471128800989,179,0.19271256437579454,42.0,0.034765451495695626
2007-02-01,-0.054489808527278014,192,0.07038244712804693,57.0,0.12487225565532495
2007-03-01,-0.030774434928605147,218,-0.1348583507141391,55.0,-0.10408391578553394
2007-04-01,-0.0037643177219424885,153,-0.14609069217772414,27.0,-0.14232637445578164
2007-05-01,-0.008012505425908428,165,0.0002437305081612093,39.0,0.008256235934069637
2007-06-01,-0.060912972998458124,175,-0.06296457763615944,42.0,-0.002051604637701314
2007-07-01,0.0595544917267795,115,-0.13819726824135353,26.0,-0.19775175996813305
2007-08-01,-0.09794899292803737,254,0.004103426887507086,102.0,0.10205241981554446
2007-09-01,-0.0014004454243866694,316,-0.06257134350093399,84.0,-0.06117089807654732
2007-10-01,-0.09009672811164776,222,-0.2960419584113743,45.0,-0.20594523029972656
2007-11-01,-0.07532135482841859,223,-0.03484352221874422,64.0,0.04047783260967437
2007-12-01,-0.09105614380112846,248,-0.062444332514675495,50.0,0.028611811286452966
2008-01-01,0.005812265691435766,296,-0.05661567763856871,49.0,-0.062427943330004475
2008-02-01,-0.23367125182822468,205,-0.20418179143451354,37.0,0.029489460393711142
2008-03-01,-0.05261538296094035,369,0.07752787569279286,62.0,0.13014325865373322
2008-04-01,-0.06404794230029145,265,-0.11584097346751365,50.0,-0.0517930311672222
2008-05-01,-0.04382047098483569,199,0.07379038995042186,33.0,0.11761086093525755
2008-06-01,-0.16208830284742615,244,-0.03798810074346533,40.0,0.12410020210396082
2008-07-01,-0.02637966532529084,207,0.14687321911877724,34.0,0.17325288444406808
2008-08-01,-0.005976774664520457,146,0.20768095471559703,27.0,0.21365772938011748
2008-09-01,-0.16467268483188785,297,-0.10334019880058441,48.0,0.06133248603130344
2008-10-01,-0.032130488887859875,332,0.14721985506908622,54.0,0.1793503439569461
2008-11-01,-0.11788757750497604,169,-0.08650678992874344,19.0,0.0313807875762326
2008-12-01,-0.04601972817955072,209,0.1384348904103021,25.0,0.18445461858985282
2009-01-01,-0.09780874166562692,159,-0.06519131917171228,22.0,0.03261742249391464
2009-02-01,0.010916091380213433,135,0.023667314475419643,19.0,0.01275122309520621
2009-03-01,0.058754062149781225,233,-0.06273177931982925,31.0,-0.12148584146961047
2009-04-01,-0.140086526662439,164,0.08759717544887995,17.0,0.22768370211131894
2009-05-01,-0.052556786469580334,171,-0.007699055763999729,16.0,0.044857730705580606
2009-06-01,0.008239812606521929,193,0.10524364433677356,39.0,0.09700383173025164
2009-07-01,-0.1065473916547538,155,-0.15838361319351293,25.0,-0.051836221538759136
2009-08-01,0.13314148414629015,149,0.10735826915719351,29.0,-0.025783214989096637
2009-09-01,0.09128286309074281,167,0.2098522989389927,29.0,0.1185694358482499
2009-10-01,0.11440198341426426,158,-0.18174083108809355,24.0,-0.2961428145023578
2009-11-01,0.0648041734074802,173,-0.002667952493588673,34.0,-0.06747212590106887
2009-12-01,0.18844925627306655,185,0.3019265812192216,39.0,0.11347732494615506
2010-01-01,-0.07313853226785728,195,0.22547053483552018,39.0,0.2986090671033775
2010-02-01,0.10441997547925878,169,0.14525925933662864,41.0,0.04083928385736986
2010-03-01,0.10521350273029499,175,0.14493977490291185,34.0,0.03972627217261686
2010-04-01,0.08819716088262852,162,0.19811940583240725,25.0,0.10992224494977873
2010-05-01,-0.017469004091113693,160,-0.014485293933291914,29.0,0.0029837101578217787
2010-06-01,-0.07319578336511175,130,0.22912439210168514,14.0,0.3023201754667969
2010-07-01,0.004123891037812221,152,-0.15796678153378524,28.0,-0.16209067257159746
2010-08-01,-0.10123018850678102,176,-0.050213354461877586,33.0,0.05101683404490343
2010-09-01,-0.012156718802272454,155,0.0427114723587803,22.0,0.05486819116105275
2010-10-01,0.004877351808617628,218,0.06899457137858091,34.0,0.06411721956996327
2010-11-01,0.07570407132927452,264,0.13068090253691886,47.0,0.054976831207644336
2010-12-01,0.13402540279301142,161,0.4622997444452128,22.0,0.3282743416522014
2011-01-01,0.04330204324335581,141,0.18827258390416793,25.0,0.1449705406608121
2011-02-01,0.0019614463609602135,121,-0.22785312935152952,16.0,-0.22981457571248973
2011-03-01,0.09102308403210352,145,0.1306656663110414,29.0,0.03964258227893788
2011-04-01,0.0430010435128243,192,-0.046625162888259124,49.0,-0.08962620640108343
2011-05-01,0.034635860704017515,130,0.2693930895094893,13.0,0.23475722880547178
2011-06-01,-0.10275645576072273,171,-0.20851004962962014,25.0,-0.1057535938688974
2011-07-01,-0.023682973468464673,124,-0.1738207787881597,14.0,-0.15013780531969503
2011-08-01,-0.11020654346476964,230,0.1670299754252179,42.0,0.27723651888998757
2011-09-01,-0.11317312371853071,181,0.13253179577902266,32.0,0.24570491949755335
2011-10-01,0.042521467232175876,113,0.14832779697503956,9.0,0.10580632974286369
2011-11-01,-0.053871438280478516,110,0.19398585526524675,13.0,0.24785729354572528
2011-12-01,0.0017236457721577446,103,0.1263036381363041,18.0,0.12457999236414635
2012-01-01,0.034049505638348056,120,0.13015100627702275,19.0,0.0961015006386747
2012-02-01,-0.0040340085435763865,114,0.12581116092425543,19.0,0.1298451694678318
2012-03-01,0.052306483731776945,141,0.05282640322827786,20.0,0.0005199194965009174
2012-04-01,-0.005836038673614306,133,-0.10554898762077523,23.0,-0.09971294894716093
2012-05-01,-0.026227736980467747,104,0.019955461843357242,17.0,0.04618319882382499
2012-06-01,-0.03980942744280839,128,0.013040819010940738,18.0,0.052850246453749125
2012-07-01,-0.11591163964138004,121,-0.0613314734258558,24.0,0.054580166215524244
2012-08-01,0.1534134576602563,136,0.3234845861802621,24.0,0.1700711285200058
2012-09-01,0.19546786413715692,161,0.27279701796306355,32.0,0.07732915382590663
2012-10-01,-0.02212757606278751,145,0.14406660841614327,25.0,0.16619418447893078
2012-11-01,0.0643014863572677,99,0.13610823835303512,20.0,0.07180675199576741
2012-12-01,-0.023164822903479317,113,-0.2953338108702017,22.0,-0.2721689879667224
2013-01-01,0.03021186905290143,145,0.04388979446406296,30.0,0.013677925411161529
2013-02-01,-0.012888232664629434,122,-0.1629917470721456,21.0,-0.15010351440751615
2013-03-01,0.05346477142410844,139,0.010505312865628006,27.0,-0.042959458558480434
2013-04-01,-0.11451452060414727,116,0.02120200233927212,19.0,0.13571652294341938
2013-05-01,0.14767715363753875,148,-0.07683759699049585,29.0,-0.2245147506280346
2013-06-01,-0.08553077673688805,225,0.055732630126786836,48.0,0.1412634068636749
2013-07-01,0.045093009813873625,204,0.13279288243470544,37.0,0.08769987262083181
2013-08-01,0.12120042866481583,187,0.030682961758899636,41.0,-0.0905174669059162
2013-09-01,0.15214797298218136,217,0.20802984566661326,49.0,0.0558818726844319
2013-10-01,0.010164799006124043,169,0.13815487321254713,34.0,0.12799007420642308
2013-11-01,0.13140754327655432,158,0.2754462052623697,42.0,0.14403866198581536
2013-12-01,0.01540761127729239,181,0.36383516595578486,40.0,0.34842755467849246
2014-01-01,0.009194756034681922,164,-0.30337776106527237,29.0,-0.31257251709995426
2014-02-01,-0.0505442234953208,148,-0.0354695914690341,24.0,0.0150746320262867
2014-03-01,0.004178198015798442,128,-0.15779250160006594,23.0,-0.16197069961586438
2014-04-01,0.03506084823105584,134,0.18222585336887173,20.0,0.14716500513781589
2014-05-01,0.02166038467523122,117,0.011793906516576368,23.0,-0.009866478158654851
2014-06-01,0.0430273985436669,133,0.10601977048636463,23.0,0.06299237194269773
2014-07-01,0.07974130606824778,135,0.06821758135159234,25.0,-0.011523724716655442
2014-08-01,0.20231223238462986,141,0.1943709646286901,38.0,-0.007941267755939757
2014-09-01,0.06830623805303739,160,0.22516466521692183,29.0,0.15685842716388443
2014-10-01,0.07304468956567547,178,0.11325939921296439,41.0,0.04021470964728892
2014-11-01,0.07047710562243488,131,-0.007851888475565073,18.0,-0.07832899409799995
2014-12-01,0.05570924936152987,166,0.3767064785465665,27.0,0.32099722918503665
2015-01-01,-0.12354347841689507,178,0.09009354501220332,28.0,0.2136370234290984
2015-02-01,0.00678542529264707,132,0.035295065685852035,29.0,0.028509640393204964
2015-03-01,0.04021598934974351,196,0.24168740781571899,45.0,0.20147141846597547
2015-04-01,-0.03296198401097563,151,0.1698074744994977,27.0,0.20276945851047334
2015-05-01,0.006987311161795606,134,-0.05501761065284352,26.0,-0.062004921814639125
2015-06-01,-0.049824383429486904,167,-0.09128893691980165,33.0,-0.04146455349031475
2015-07-01,-0.05920399336642671,146,0.10519837672358681,32.0,0.16440237009001352
2015-08-01,-0.08972091720228464,170,-0.09826162707205045,33.0,-0.008540709869765808
2015-09-01,-0.1444812543335581,172,-0.24191491861646247,39.0,-0.09743366428290437
2015-10-01,0.02671729225779798,144,-0.035959364361667356,30.0,-0.06267665661946534
2015-11-01,0.0532514524473745,143,0.2708174027219571,26.0,0.2175659502745826
2015-12-01,-0.17703148949195985,200,-0.1315425330296963,34.0,0.04548895646226356
2016-01-01,-0.06768580336011253,144,-0.05892157546684014,31.0,0.008764227893272386
2016-02-01,-0.04360035417299943,118,-0.2134481707527646,19.0,-0.16984781657976517
2016-03-01,-0.10483413972929465,129,-0.1544734139434605,21.0,-0.04963927421416586
2016-04-01,-0.14219345310461287,132,-0.02014204115096827,18.0,0.1220514119536446
2016-05-01,-0.0705471210118382,119,-0.30657698083159,17.0,-0.23602985981975183
2016-06-01,-0.08483373382982742,165,-0.1426675038985195,25.0,-0.057833770068692086
2016-07-01,-0.02586883538379497,120,0.04422744407531369,22.0,0.07009627945910867
2016-08-01,0.024801401318467524,143,0.12772843234098333,32.0,0.1029270310225158
2016-09-01,-0.033449932614715405,168,-0.12038564473049768,37.0,-0.08693571211578227
2016-10-01,0.020464872637991786,139,-0.23697824981382937,18.0,-0.25744312245182116
2016-11-01,0.1139136374619062,114,0.11109042429951081,17.0,-0.0028232131623953938
2016-12-01,0.08318861911468836,169,0.17154594863335673,29.0,0.08835732951866837
2017-01-01,0.1395452825654854,136,0.35699488905410587,27.0,0.21744960648862047
2017-02-01,0.25017074547218515,130,0.2416345934739161,22.0,-0.008536151998269043
2017-03-01,0.10041264443983565,206,-0.04891060656979311,49.0,-0.14932325100962876
2017-04-01,0.18059715481358551,122,0.3150989900189287,27.0,0.1345018352053432
2017-05-01,-0.015466244609008577,119,0.16055573419089234,26.0,0.17602197879990092
2017-06-01,0.09400188025915253,152,0.14392987464666357,62.0,0.04992799438751104
2017-07-01,0.012323876273306505,158,0.11833118222627521,60.0,0.10600730595296871
2017-08-01,0.08914904393551758,132,-0.17352365374402828,32.0,-0.2626726976795459
2017-09-01,0.0373592633410844,150,0.10093959685666998,6.0,0.06358033351558558
2017-10-01,0.13249399661452338,156,0.14474616246367172,8.0,0.012252165849148344
2017-11-01,0.1889084771285194,134,0.19963400423678207,10.0,0.010725527108262661
2017-12-01,0.07819691701331104,153,0.9658345794305205,3.0,0.8876376624172095
2018-01-01,0.09277132364477383,142,0.614532538000839,3.0,0.5217612143560652
2018-02-01,0.12246484214982067,150,0.5272772841810073,4.0,0.4048124420311866
2018-03-01,-0.041895457185440285,185,0.6530517583176288,3.0,0.6949472155030691
2018-04-01,-0.0585543637094438,109,0.49541690512623476,2.0,0.5539712688356786
2018-05-01,0.20551313815104855,115,0.3843600800654642,2.0,0.17884694191441564
2018-06-01,0.08867231852610305,137,0.3355207912745228,3.0,0.24684847274841973
2018-07-01,-0.0212416698178348,138,0.03820275400130837,4.0,0.059444423819143166
2018-08-01,0.03629304734057791,141,0.467681062011648,3.0,0.4313880146710701
2018-09-01,0.03548529633534215,136,0.8797735101543367,1.0,0.8442882138189945
2018-10-01,0.02488174714755983,182,-0.915865988247661,3.0,-0.9407477353952208
2018-11-01,0.027824012503167496,126,-0.02468360238505197,2.0,-0.052507614888219464
2018-12-01,-0.04216851518411068,184,0.007056290186531668,3.0,0.04922480537064235
2019-01-01,0.06071361149836693,165,0.6796709108268743,3.0,0.6189572993285073
2019-02-01,0.15775161457788947,148,0.4563501726870528,3.0,0.29859855810916336
2019-03-01,0.04105179488890418,144,0.3875085008726301,5.0,0.3464567059837259
2019-04-01,0.09644833804025064,164,-0.831389890624255,3.0,-0.9278382286645056
2019-05-01,-0.10047285927946908,135,-0.3924551560118793,3.0,-0.2919822967324102
2019-06-01,0.00392911786362688,158,0.46913145038941634,11.0,0.46520233252578946
2019-07-01,0.021746538242734103,189,0.044771659512296544,4.0,0.02302512126956244
2019-08-01,-0.16953388171500372,164,-0.3662784493996691,6.0,-0.19674456768466536
2019-09-01,-0.07476184755350825,128,-0.13179840706288815,1.0,-0.0570365595093799
2019-10-01,0.0026002588284036623,140,0.6977280055210192,4.0,0.6951277466926156
2019-11-01,0.20481443080375855,95,0.8442617259159776,3.0,0.639447295112219
2019-12-01,0.14484358169139666,106,0.9931507745059207,1.0,0.848307192814524
2020-01-01,0.11474071034380927,101,-0.45462220859503566,2.0,-0.5693629189388449
2020-02-01,0.06995922071602688,71,-0.04204808770586204,2.0,-0.11200730842188891
