date,n_articles,mean_score,share_pos_minus_neg,conf_weighted,ci_lo,ci_hi,confidence
2024-03-07,56,0.23795822967700328,0.46428571428571425,0.26659252824457386,0.08986218462834013,0.4345210331619877,0.7339819423795515
2024-03-08,23,0.5945352871811179,0.7391304347826086,0.6655351959572747,0.4378826381209662,0.8481754312966742,0.8026856347154703
2024-03-09,3,0.6599747866469746,1.0,0.667649644435876,0.0203441521152853,0.994940065429546,0.9074616392111202
2024-03-10,5,0.62158543439582,0.6000000000000001,0.7513575643725657,0.2341229630283977,0.9838432703703693,0.7112754053272463
2024-03-11,10,0.17391611847560853,0.39999999999999997,0.22230006855419232,-0.34302402378122554,0.7342080974125381,0.6429065159843086
2024-03-12,18,0.14301487494311813,0.3333333333333333,0.16364127668714737,-0.1815321153653698,0.4967896042370741,0.5627550279010155
2024-03-13,16,0.21816505364040495,0.625,0.2356838261939969,-0.13008216608196282,0.5743934619540811,0.6900482062834741
2024-03-14,10,-0.11136396174551919,0.0,-0.18501213860209528,-0.6560367999804495,0.3339739973292955,0.4606855571018726
2024-03-15,20,-0.505888159465394,-0.30000000000000004,-0.5107570990974886,-0.7479658247601964,-0.24730568801650446,0.72230566413676
2024-03-16,4,0.14226458908524364,0.0,0.484489122193175,-0.3949710783155536,0.915309835829978,0.38692698215517746
2024-03-17,14,0.152301510820897,0.5714285714285714,0.10043692735014159,-0.13455308633678195,0.34534469235924853,0.7726256894370106
2024-03-18,43,0.34257196996572187,0.441860465116279,0.4759520278609979,0.26202160709691763,0.6523563201619257,0.6826261217831091
2024-03-19,44,-0.015481447435873135,0.1363636363636364,0.0001875883139738631,-0.20311294267397292,0.1980425493560346,0.7026460427375576
2024-03-20,75,-0.008638355582952506,0.12000000000000005,0.008150646299296752,-0.17551531081044547,0.17345835220925096,0.680810146266012
2024-03-21,77,0.3077835175008422,0.48051948051948057,0.38720231602301325,0.21649795327157842,0.5453361923024738,0.7023628953384052
2024-03-22,24,0.26640394838129094,0.5833333333333333,0.28562143523555467,-0.03396058207087111,0.5978937338621656,0.6665429984633929
2024-03-23,12,0.36905959659876925,0.6666666666666667,0.3680670066106943,-0.10746826924264818,0.7545688320842061,0.6089578576892675
2024-03-24,9,0.3175856732155403,0.3333333333333333,0.5116111643592164,0.16076168568502913,0.8137915898037299,0.6297116430421491
2024-03-25,21,0.39764662162356434,0.5238095238095237,0.43829150113970794,0.21875908331035432,0.6435376533309555,0.5262215023444649
2024-03-26,13,-0.05492039229676055,-0.07692307692307687,-0.014984052149028586,-0.441253771453203,0.4022144958759717,0.7375244195086753
2024-03-27,4,0.056167936680139974,0.0,0.03156075703047332,-0.7458130955499573,0.7879677896091997,0.78872744236862
2024-03-28,12,0.17230432487364547,0.3333333333333333,0.25893634394060094,-0.15220662200602988,0.6300854410937424,0.5377548294346569
2024-03-29,16,0.09935172943369253,0.125,0.12331347761269289,-0.2529923182618944,0.4757174079799115,0.5892183859968889
2024-03-30,5,-0.2961088306736201,0.19999999999999996,-0.28836136446803917,-0.6830780689063789,0.093225462072812,0.6683702035986544
2024-03-31,8,0.5843320716230664,0.75,0.6810273730428216,0.35574881144807996,0.8954364686247047,0.5603827080404867
2024-04-01,19,0.31166480641542493,0.368421052631579,0.35463045108840036,0.005204861007324602,0.6691140762501274,0.5682644274220668
2024-04-02,28,-0.3285396500078995,-0.4285714285714286,-0.38531685822510026,-0.6794138466002098,-0.06578551173794295,0.6416215539511384
2024-04-03,46,0.03599776759232475,0.2173913043478261,-0.013745308565613006,-0.23652918461061617,0.20282086422919188,0.5882386298721974
2024-04-04,39,0.2752573913521468,0.5897435897435896,0.27424039233793657,0.029372021449226182,0.49698064269468567,0.7503430131138875
2024-04-05,36,-0.04752458200123834,0.05555555555555558,-0.01175664587907236,-0.28400186072744105,0.2594193967286042,0.6533008342200017
